Code,City,Name,Address,Phone
212,Jakarta,KCP Gunung Sahari ,"Pert.Gunung Sahari Indah Blok B/11-12, Jl.Raya Gunung Sahari 13 Jakarta Utara 14420, ",021-6459965 
217,Jakarta,KCU KUNINGAN ,"Gedung Menara Karya Ground Floor, Jalan HR Rasuna Said Blok X-5 Kav. 1-2 Jakarta Selatan 12950 ",021-57944500
218,Jakarta,KCU BLOK A CIPETE ,Jalan RS Fatmawati 6 A Jakarta Selatan 12410 ,021-7658605 
219,Jakarta,KCP Radio Dalam ,"Jalan Radio Dalam Raya No. 5 B-C Jakarta Selatan 12140, ",021-7245318 
221,Jakarta,KCP Menara Imperium ,"Jalan HR Rasuna Said Kav.01 Jakarta Selatan 12980, ",021-8356383-87 
224,Jakarta,KCP Batu Ceper ,"Jalan Batu Ceper Raya 18 A-B JakartaÂ  Pusat 10210, ",021-3853383 
227,Jakarta,KCP Kelapa Gading Boulevard ,"Jalan Kelapa Gading Boulevard Blok FX No.9-10 Jakarta Utara 14240, ","021-4524913, 4532801-02"
228,Jakarta,KCP Mayestik ,"Jalan Kyai Maja 77, Kebayoran Baru Jakarta Selatan 12120, ",021-7205968 
229,Jakarta,KCP Palmerah ,"Jalan Palmerah Barat 38 A Jakarta Barat 11210, ",021-5481108 
230,Jakarta,KCU KALIMALANG ,Jalan Tarum Barat Blok E No. 5 Jakarta Timur 13450 ,021-8643295 
233,Bandung,KCP Setiabudi ,"Jalan Setiabudi 146 Bandung 40114 Jawa Barat, ","022-2034547, 2035065, 2034880"
237,Jakarta,KCP Pondok Indah ,Jalan Metro Pondok Indah UA 60 & 61 Jakarta Selatan 12310 ,"021-7505601, 7507196 "
240,Jakarta,KCP Cengkeh ,"Jalan Cengkeh 21-21A Jakarta Barat 11110, ",021-6905245-48 
241,Jakarta,KCP Jembatan Merah ,"Jalan Mangga Besar 177 C Jakarta Barat 11180, ","021-6006745 , 6592500"
243,Bandung,KCP ABC ,"Jln ABC 18 Bandung 40111 Jawa Barat, ","022-4235850, 4241793, 4234919"
244,Jakarta,KCP Pluit Kencana ,"Jalan Taman Pluit Kencana Selatan No. 1-3 Jakarta Utara 14440, ","021-6604691, 6690778"
248,Jakarta,KCP Pasar Kebayoran Lama ,"Jalan Kebayoran Lama 174 Jakarta Selatan 12230, ",021-2700436-38 
253,Jakarta,KCU GREEN GARDEN ,Perum. Green Garden Blok A.7 No.33-34 Jakarta Barat 11520 ,"021-5824488, 5817342"
255,Jakarta,KCP Menara Mulia ,"Gedung Menara Mulia Lt.Dasar, Jalan Gatot Subroto Kav.9-11 Jakarta Selatan 12930, ",021-5268472-75 
260,Jakarta,KCP Grogol Permai ,"Pert.Grogol Permai Blok F 3-4, Jalan Prof. Latumenten Jakarta Barat 11460, ","021-5668671, 5679988. 5668669"
261,Jakarta,KCU SURYOPRANOTO ,Jalan Suryopranoto 40 Jakarta Pusat 10130 ,"021-6331742 , 6304171"
262,Jakarta,KCP Hasyim Ashari ,"Jalan KH H. Ashari 5 AA Jakarta Pusat 10130, ","021-6327210, 6327212"
268,Jakarta,KCP Grogol Muwardi ,"Jalan Muwardi 1/44 Jakarta Barat 11450, ",021-5665417-19
272,Jakarta,KCP Gudang Peluru ,"Komp. Gudang Peluru Blok A No. 23, Jalan Kampung Melayu Besar Jakarta Selatan 12830, ","021-8312431, 8301212"
273,Jakarta,KCP Dewi Sartika ,"Jalan Dewi Sartika 189 Jakarta Timur 13630, ","021-8093875, 8094425"
274,Jakarta,KCP Pondok Bambu ,"Pondok Bambu Center Blok A/5-6, Jalan Pahlawan Revolusi 30 Jakarta Timur 13430, ",021-8611890-94
275,Jakarta,KCP Pulo Gadung ,"Jalan Raya Bekasi Km.19 No.30 B-C Jakarta Timur 13320, ","021-4758036, 4759537, 4753148"
277,Jakarta,KCU TAMAN DUTA MAS ,Jalan Tubagus Angke No. 10 ABC dan 11 HÂ  Jakarta Barat 11460 ,021-56941971 
281,Bandung,KCP Rajawali ,"Komp. Rajawali Plaza Jalan Rajawali TimurÂ  27 B Bandung 40182 Jawa Barat, ",022-6072852-53
282,Bandung,KCP Maranatha ,"Jalan Prof. Drg. S. Soemantri 33 Bandung 40151 Jawa Barat, ",022-2000351-52
284,Jakarta,KCP Sawah Besar ,"Jalan Sukarjo Wiryopranoto 28 C Jakarta Pusat 10120, ",021-2311388 
285,Jakarta,KCP Taman Sari ,"Jalan Taman Sari 47-47A Jakarta Barat 11150, ",021-2600190 
286,Jakarta,KCP Kemang ,"Jalan Raya Kemang No. 60 Jakarta Selatan 12730, ","021-7193323, 7193327, 7193329 "
287,Jakarta,KCP Kebon Jeruk ,"Komp. Taman Kebon Jeruk, Jalan Meruya Ilir Blok B 6-9 Jakarta Barat 11630, ",021-5846187 
288,Jakarta,KCU PURI INDAH ,Komp. Puri Indah Blok A/20-22 Jakarta Barat 11610 ,021-5802635 
291,Jakarta,KCU PONDOK INDAH ,"Wisma BCA Pondok Indah, Jalan Metro Pondok Indah Jakarta Selatan 12310 ",021-29973555
301,Jakarta,KCP Bendungan Hilir ,"Jalan Bendungan Hilir 18-19 Jakarta Pusat 10210, ",021-5736665 
307,Jakarta,KCP Mandala ,"Jalan Hayam Wuruk No. 110C Jakarta Barat 11160, ","021-2600421, 6254229"
308,Jakarta,KCP Duta Merlin ,"Komp. Duta Merlin Blok A No. 24-25, Jalan Gajah Mada 3-5 Jakarta Pusat 10130, ",021-63866262
309,Jakarta,Kedoya Baru ,"Ruko Tomang Tol Raya Blok A 1/21-22 Jakarta Barat 11520, ",021-5803228-31
310,Jakarta,KCP Tomang Raya ,"Jalan Tomang Raya 64 Jakarta Barat 11430, ",021-5669000 
311,Jakarta,KCP Latumenten ,"Jalan Prof. Dr. Latumenten 28 Jakarta Barat 11330, ","021-6319274-75, 6310261"
313,Jakarta,KCP Kapuk Kamal ,"Jalan Raya Kapuk Kamal No. 1A Blok DEF Jakarta Utara 14470, ","021-6198279, 6198282 "
319,Jakarta,KCU CITY TOWER ,"The City Tower, Ground Floor, Jalan MH. Thamrin No. 81 Jakarta Pusat 10310 ",021-31996069
335,Jakarta,KCU MANGGA DUA RAYA ,Jl.Mangga Dua Raya Blok C-5 Kav. No.1 Jakarta Utara 14430 ,021-6011410 
342,Jakarta,KCU MATRAMAN ,Jalan Matraman Raya 14-16 Jakarta Timur 13150 ,021-8581259 
346,Bandung,KCU Soekarno Hatta ,"Jalan Soekarno Hatta 240 Bandung 40227 Jawa Barat, ",022-5403343 
350,Jakarta,KCP Hayam Wuruk ,"Jalan Hayam Wuruk 54 Jakarta Barat 11160, ",021-6280124-25
369,Jakarta,KCP Pasar Tanah Abang ,"Jalan KH Fachrudin 36 Blok D/23 Jakarta Pusat 10250, ",021-3154520
370,Jakarta,KCP Karang Anyar ,"Jalan Karang Anyar Blok A1 No.14-15 Jakarta Pusat 10740, ","021-2600193, 2600196, 2600200"
372,Jakarta,KCU KEDOYA PERMAI ,"Ruko Taman Kedoya Permai, Blok A 1A No.4-5 Jakarta Barat 11530 ","021-5310055 , 5344939 "
375,Jakarta,KCP Graha Inti Fauzi ,"Gd. Graha Inti Fauzi Lt. Dasar, Jalan Buncit Raya No. 22, Pejaten Jakarta Selatan 12790, ",021-79182627
386,Jakarta,KCP Pluit Timur ,Jalan Pluit Timur Blok L Barat Kav. 41-42 No.12A-14,
391,Jakarta,KCP Bungur ,"Jalan Bungur Besar Raya 32 & 32A Jakarta Pusat 10610, ","021-4219627, 4248430"
397,Jakarta,KCP Cideng Barat ,"Jalan Cideng Barat 53 Jakarta Pusat 10150, ",021-3842653
398,Jakarta,KCP Mandala Raya ,"Jalan Mandala Raya 14 Jakarta Barat 11440, ",021-5666756 
399,Jakarta,KCP Citra Garden ,"Perum. Citra Garden I Blok I.1/4 Jakarta Barat 11840, ","021-5401239, 5401802"
401,Jakarta,KCP Ketapang ,"Komp.Ketapang Indah Blok A/3-4, Jalan KH Zainal Arifin Jakarta Barat 11140, ","021-2600409 , 2600418"
408,Jakarta,KCP Kapuk Muara ,"Komp.Duta Harapan Indah, Jalan Kapuk Muara Blok K.32-33 Jakarta Utara 14460, ",021-6606181-83 
412,Jakarta,KCP Klender ,"Jalan I Gusti Ngurah Rai 8 A-B Jakarta Timur 13470, ",021-8614655-56
414,Jakarta,KCP Kramat Jaya ,"Jalan Kramat Jaya Blok F1/10 Jakarta Utara 14130, ",021-4400742 
419,Jakarta,KCP Sunter Danau ,"Jalan Danau Agung 2 Blok E2 No. 1A, Sunter Podomoro Jakarta Utara 14350, ",021-6400090-92 
428,Jakarta,KCU SUNTER MALL ,"Jalan Danau Sunter Utara Blok G 7 III No.1-2, Sunter Podomoro Jakarta Utara 14350 ","021-6400748, 6401851-52"
436,Jakarta,KCP Tebet Barat ,"Jalan Tebet Barat IX/40 Jakarta Selatan 12820, ","021-8301037, 8304297 "
437,Bandung,KCU A.Yani ,"Jalan A. Yani 656-658 Bandung 40282 Jawa Barat, ",022-7206706 
438,Bandung,KCP Burangrang ,"Jalan Burangrang 44 Bandung 40262 Jawa Barat, ",022-7303060
441,Jakarta,KCP Plaza Sentral ,"Jalan Jend. Sudirman Kav.47 JakartaÂ  Selatan 12930, ","021-5207990, 2511344 "
449,Bandung,KCP Banda ,"Jalan Banda 39 Bandung 40115 Jawa Barat, ","022-4201664, 4217347"
450,Jakarta,KCU MENARA BIDAKARA ,"Menara Bidakara Lt. Lobby dan Lt.1, Jalan Gatot Subroto Kav.71-73 Jakarta Selatan 12870 ",021-83700809 
453,Bandung,KCP Lingkar Selatan ,"Komp. Ruko Kopo Plaza B 03-04 Jalan Peta 33 Bandung 40233 Jawa Barat, ",022-6036457-8
455,Jakarta,KCP Gondangdia Lama ,"Jalan R.P. Soeroso No. 25 Jakarta Pusat 10330, ","021-31935180, 3921837 "
458,Jakarta,KCP BEJ ,"Gd. Bursa Efek Jakarta, Tower II G-09 & 108, Jalan Jend. Sudirman Kav. 52-53 Jakarta Selatan 12190, ","021-5153020-21, 5153023-25"
459,Jakarta,KCP Wisma Indocement ,"Wisma Indocement, Gd.Annex Lt. Dasar, Jl. Jend. Sudirman Kav. 1 Jakarta Pusat 10210, ",021-2510101
466,Jakarta,KCP Mall Ciputra ,"Mal Ciputra LG II No. 24-28, Jalan Arteri S. Parman, Slipi Jakarta Barat 11470, ","021-5606531, 5607585, 5661048"
467,Jakarta,KCP Mal Taman Anggrek ,"Lower Ground Lot. C 07, Jalan S. Parman Kav. 21, Slipi Jakarta Barat 11470, ","021-5639174, 5639176, 5639178"
478,Jakarta,KCP Wahid ,"Jalan KH Wahid Hasyim 82 Jakarta Pusat 10340, ",021-3903979
480,Jakarta,KCP Mangga Dua ITC ,"Gedung ITC Mangga Dua Lt.IV Blok B No.20-25, 29-32, Jalan Mangga Dua Raya Jakarta Utara 14430,",
481,Jakarta,KCP Teluk Mas ,"Jalan Teluk Gong No. 9 & 9A Jakarta Utara 14450, ","021-6612075, 6628961"
490,Jakarta,KCP Taman Permata Buana ,"Ruko Taman Permata Buana, Jalan Pulau Bira III Blok D1/36-37 Kembangan Jakarta Barat 11610, ","021-5818501, 5801684"
491,Jakarta,KCP Wisma Relasi ,"Jalan Panjang 333 Jakarta Barat 11530, ","021-5322059, 5322060"
498,Jakarta,KCP Gedung Hijau ,"Jalan Gedung Hijau Raya No. 41, Pondok Indah Jakarta Selatan 12130, ","021-75817850, 7655981 "
4070,Jakarta,KCP Muara Karang 3 ,"Jalan Galeri Niaga Mediterania Blok X.3 Kav.No.A8.J, Pantai Indah Kapuk Jakarta Utara, ",021-5882943-44 
5000,Jakarta,KCP Tmn Sunter Indah ,"Taman Sunter Indah Blok KI-1/31 Jakarta Utara 14350, ","021-6500489, 6500630, 6519822 "
5020,Jakarta,KCP Graha Paramita ,"Gdg Graha Paramita Lobby Depan, Jalan Denpasar Raya Blok D-2 Jakarta Selatan 12940, ",021-5265338 
5150,Bandung,KCP Abdul Rachman Saleh ,"Jalan Abdul Rachman Saleh 77 Bandung 40174 Jawa Barat, ",022-6020876-78
5240,Jakarta,KCP Wolter Monginsidi ,"Jalan Wolter Monginsidi 56 Jakarta Selatan 12790, ",021-7202124-25 
5255,Jakarta,KCP Empat Enam ,"Wisma 46 Lantai Dasar, Jalan Jend. Sudirman Kav. 1 Jakarta Pusat 10220, ",021-5744546 
5260,Jakarta,KCP KS Tubun ,"Gd.Graha Indramas Lt.dasar, JalanAIP II KS Tubun Raya No.77 Jakarta Barat 11410, ",021-53673301-03
5270,Jakarta,KCP Bina Nusantara ,"Kamp.II Univ.Bina Nusantara,JalanAnggrek Cakra 10 Kebon Jeruk Jakarta Barat 11530, ",021-5350626-27
5300,Jakarta,KCP Perniagaan Timur ,"Jalan Perniagaan Timur 38 Jakarta Barat 11230, ","021-6915120, 6918912"
5310,Jakarta,KCP Taman Kencana ,"Komp.Taman Kencana Blok C1/11, Jalan Kamal Raya, Cengkareng Jakarta Barat 11730, ","021-5553439, 5553164, 5557742"
5315,Jakarta,KCP Iskandar Muda II ,"Jalan Iskandar Muda 8 EFG Jakarta Selatan 12240, ",021-7225234 
5320,Jakarta,KCP Telepon Kota ,"Jalan Telepon Kota 34 Jakarta Barat 11230, ","021-6922768, 6928016"
5330,Jakarta,KCP Niaga Roxy Mas II ,"ITC Roxy Mas Lt. 4 Blok E No. 26-38, Jalan KH Hasyim Ashari No. 125 Jakarta Pusat 10150, ",021-30002644-47
5380,Jakarta,KCP Taman Harapan Indah ,"Komp. Taman Harapan Indah Blok EE No.1, Jelambar Baru Jakarta Barat 11460, ","021-56962463, 56962452"
5390,Jakarta,KCP Citra Garden II ,"Perum. Citra Garden II Ruko Citra Niaga Blok B No. 1 & 2 Jakarta Barat 11830, ",021-54374715
5450,Jakarta,KCP ITC Roxy Mas ,"ITC Roxy Mas Basement 13, JalanKH.Hasyim Ashari 125 Jakarta Pusat, ","021-63857816, 63857832"
5460,Jakarta,KCP Menara Batavia ,"Gedung Menara Batavia Lt.Basement, JalanKH Mansyur kav.126 Jakarta Pusat 10220, ",021-5747566 
5490,Jakarta,KCP Taman Semanan Indah ,"Perum. Taman Semanan Blok C/48, JalanDuri Kosambi Jakarta Barat 11750, ","021-5455438, 5455287, 54390238"
5660,Jakarta,KCP Panglima Polim Raya ,"Ruko Grand Panglima Polim, Jalan Panglima Polim Raya 16-17 Jakarta Selatan 12160, ","021-72793202, 72801501-02 "
5700,Jakarta,KCP HR Rasuna Said ,"Jalan Rasuna Said Kav. B10-11 Jakarta Selatan 12940, ","021-5251461, 5251561 "
5810,Jakarta,KCP Pluit Mega Mal ,"Jalan Pluit Permai Raya 60 Jakarta Utara 14450, ","021-6684102, 6624010"
5820,Jakarta,KCP Sunter Bisma ,"Komp. Nirwana Sunter Blok A/31-32, Jalan Bisma Raya Asri Jakarta Utara 14350, ","021-6518629, 6518632 "
5830,Jakarta,KCP Bandengan Utara Raya ,"Jalan Bandengan Utara Raya 1A Jakarta Barat 11240, ","021-6928983, 6922861"
5990,Jakarta,KCP Jamblang ,"Jalan Jamblang Raya 51 JakartaÂ  Barat 11270, ","021-6323684, 6327720"
6020,Jakarta,KCP Pluit Samudra ,"Jalan Pluit Samudra No. 9 Blok N Kav. 5 Jakarta Utara 14450, ",021-6628120
6030,Jakarta,KCP Bintaro Utama ,"Bintaro Jaya Blok E Kav.3-5, Jalan Bintaro Utama Rukan Jakarta Selatan 12330, ","021-7351025, 7373691 "
6070,Jakarta,KCP Cyber II ,"Gedung Cyber 2 Ground Floor, Jl. HR. Rasuna Said Kav. X-5 No. 13 Jakarta Selatan 12950, ",021-29021388 
6250,Jakarta,KCP Intercon Megah ,"Komp.Intercom Megah, Jalan Joglo Raya Blok W-IV No. 27 Jakarta Barat 11630, ","021-5869950, 5868856, 5868160"
6260,Jakarta,KCP Metro Tanah Abang ,"Pusat Grosir Metro Tanah Abang Lt. Lower Ground Blok A No. 31-33, 35-40, 82-83, 85-88, Jl. KH Wahid Hasyim Jakarta Pusat 10240",
6280,Jakarta,KCP Cibubur ,"Cibubur Indah Blk BA, Jalan Lapangan Tembak Blok A/24-26 Jakarta Timur 13720, ","021-8719451, 87701843 "
6320,Jakarta,KCP Mal Kelapa Gading ,"Jalan Boulevard Raya Blk LB1 No. 15-16 Jakarta Utara 14240, ","021-4531935, 45840075-77"
6360,Jakarta,Pasar Pagi Mangga Dua ,"Gedung Pusat Perdagangan Grosir Pasar Pagi Lt.III, Ruang No.4 (Banking), Jalan Mangga Dua Raya Jakarta Utara 14430, ","021-6011109, 6284218"
6370,Jakarta,KCP Muara Karang 2 ,"Jalan Pluit Karang No. 64 Blok Z3 Selatan Kav. 32 Jakarta Utara 14450, ","021-6628869-70, 6629440, 6678894"
6380,Jakarta,KCP Graha Kirana ,"Gedung Graha Kirana, Jl. Yos Sudarso No. 88 Jakarta Utara 14240, ",021-65311325
6450,Jakarta,KCP Lindeteves ,"Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, JalanHayam Wuruk 100 Jakarta Barat 11110, ","021-6258061, 6245358"
6590,Jakarta,KCP Prima Sunter ,"Ruko Prima Sunter, Jalan Danau Sunter Utara No.A2-A3 Jakarta Utara 14350, ","021-6517255, 6513047 "
6600,Jakarta,KCP Boulevard Timur ,"Jalan Boulevard Timur Blok NC 1 No.54-55 Jakarta Utara 14240, ",021-4517131-32
6930,Jakarta,KCP Mangga Dua Mal ,"Mangga Dua Mal No. RM. 49, Jalan Mangga Dua Raya Jakarta Pusat 10730, ","021-6129764, 62301097"
7060,Jakarta,KCP Cempaka Putih Raya ,"Jalan Cempaka Putih Raya 102 C-D Jakarta Pusat 10510, ","021-4266909, 4266910"
7100,Jakarta,KCP Tiang Bendera ,"Jalan Tiang Bendera 5 No.38 E Jakarta Barat 11230, ","021-6929170, 6901635 "
7160,Jakarta,KCP M.T. Haryono  Cawang ,"Jalan MT Haryono Kav. 9 Jakarta Timur 13330, ","021-8564873, 8583183, 8583185Â "
7350,Jakarta,KCP Menteng ,"Jalan HOS Cokroaminoto 83, Jakarta Pusat 10310, ",021-3905401-02 
7460,Jakarta,KCP Agung Sedayu II ,"Komp. Agung Sedayu Blok C No.11, Jalan Mangga Dua Raya Jakarta Pusat, ","021-6121123, 6126962"
7480,Jakarta,KCP Gading Bukit Indah ,"Jalan Bukit Gading Raya Blok D/1 Jakarta Utara 14240, ","021-45840715, 4515822"
7570,Jakarta,KCP Taman Palem Lestari ,"Komp. Perum Taman Palem Lestari Blok C5 No. 52 Jakarta Barat 11730, ",021-55956572-73
7660,Jakarta,KCP Setiabudi Atrium ,"Plaza Setiabudi, Gd.Setiabudi Atrium Lt.1 Suite 101 A, JalanHR.Rasuna Said Kav.62, Kuningan Jak-Sel 12920, ",021-5210698-99
7750,Bandung,KCP Buah Batu ,"Jalan Buah Batu 192 Bandung 40228 Jawa Barat, ",022-7304393
7770,Bandung,KCU Dago ,"Jalan Ir. Juanda 66 Bandung 40138 Jawa Barat, ",022-2513185-86
8390,Jakarta,KCP Tanah Abang Blok A ,"Kios Pasar Tanah Abang Blok A Basement I/G-063, F-080, F-081 Jakarta Pusat 10250, ",021-23571671-74
8740,Jakarta,KCP Pantai Indah Kapuk ,"Jalan Pantai Indah Selatan I Blok DF No.1 & 2 Jakarta Utara 14460, ",021-5881118Â 
8770,Jakarta,KCP Grand Cempaka Mas ,"Ruko Mega Grosir Cempaka Mas Blok A/5-A/7, JalanLetjen Suprapto jakarta Pusat 10640, ",021-4265957-58
44,Ambon,KCU Ambon ,Jalan Sultan Hairun 24 Ambon 97124 Maluku ,0911-352425-28
191,Balikpapan,KCU Balikpapan ,Jalan Jend. Sudirman 139 B Balikpapan 76112 Kalimantan Timur ,0542-735252
43,Banda Aceh,KCU Banda Aceh ,Jalan Panglima Polim 40 Banda Aceh 23122 Nanggroe Aceh Darussalam ,0651-33887
20,Bandar Lampung,KCU Bandar Lampung ,Jalan Yos Sudarso 100 Bandar Lampung 35225 Lampung ,0721-486205
185,Bangkalan,KCU Bangkalan ,Jalan Trunojoyo 14 Bangkalan 69112 Jawa Timur ,031-3095501 3095648
51,Banjarmasin,KCU Banjarmasin ,Jalan Lambung Mangkurat 11-13 Banjarmasin 70111 Kalimantan Selatan ,0511-3350711-5 3366990 3366988
180,Banyuwangi,KCU Banyuwangi ,Jalan Jend. Sudirman 85-87 Banyuwangi 68415 Jawa Timur ,0333-424250
61,Batam,KCU Batam ,Jalan Raja Ali Haji 18 Sei Jodoh Batam 29432 Riau ,0778-421222
340,Batam,KCP Nagoya ,Komp. Sakura Anpan Jalan Imam Bonjol Blok B 6-8 Batam 29432 Riau ,0778-457687
66,Bekasi,KCU BEKASI ,Jalan Ir. H. Juanda 54 Bekasi 17141,021-8802266 8802377 8803034
7390,Bekasi,KCP Ahmad Yani Bekasi ,Ruko Kalimalang Commercial Center Blok A No.5-6 Jalan A. Yani Bekasi Jawa Barat 17148 ,021-8854017 8854019
5210,Bekasi,KCP Bulevar Hijau ,Komp. Sentra Niaga Bulevar Hijau Kav. 33-35 Medan Satria Bekasi - Jawa Barat 17131 ,021-88978129 88977759
